#ID	Galaxy2667-__ob__Report__Kraken2_on_data_2608_and_data_2607__cb__.tabular	Galaxy2669-__ob__Report__Kraken2_on_data_2610_and_data_2609__cb__.tabular	Galaxy2671-__ob__Report__Kraken2_on_data_2612_and_data_2611__cb__.tabular	Galaxy2673-__ob__Report__Kraken2_on_data_2614_and_data_2613__cb__.tabular
Escherichia	1	0	0	2
Hafnia	0	0	1	0
Klebsiella	1	0	0	2
Kluyvera	0	0	0	1
Morganella_581	1	1	0	0
Proteus_583	1	0	0	1
Salmonella	0	1	0	0
Shigella	0	0	0	1
Yersinia_629	1	1	0	0
Edwardsiella_635	1	0	0	0
Plesiomonas	1	0	0	0
Legionella	0	1	1	1
Fluoribacter	1	0	0	0
Tatlockia	0	0	0	1
Coxiella_776	0	0	1	0
Ectothiorhodospira	1	0	0	0
Arhodomonas	0	0	0	1
Lysobacter	16	11	14	22
Xanthomonas	0	0	0	1
Methylomonas	0	1	2	0
Methylobacter	2	0	0	0
Alteromonas	2	1	1	1
Shewanella	93	85	76	80
Photobacterium	1	0	0	0
Vibrio	1	0	0	0
Ruminobacter	0	0	0	1
Haemophilus	0	0	1	0
Methylocystis	9	2	3	11
Methylosinus	0	0	0	1
Blastobacter	7	6	2	9
Bradyrhizobium	1	1	0	0
Nitrobacter	0	0	0	1
Hyphomicrobium	11	11	11	21
Beijerinckia	1	0	0	0
Agrobacterium	1	2	0	1
Rhizobium	0	0	2	1
Brucella	1	0	1	2
Methylobacterium	1	0	0	1
Azorhizobium	240	295	299	244
Ancylobacter	10	6	2	8
Xanthobacter	1	0	1	0
Rickettsia	1	0	0	0
Wolbachia	0	1	1	0
Tuberoidobacter	4	5	2	6
Stella	12	6	11	12
Acetobacter	1	0	0	1
Gluconobacter	0	1	0	0
Acidiphilium	0	1	1	1
Rhodopila	0	0	1	0
Azospirillum	3	3	4	4
Paracoccus_265	0	1	0	0
Hyphomonas	8	8	6	18
Zymomonas	0	0	0	1
Phenylobacterium	111	49	91	87
Caulobacter	16	16	12	21
Spirillum	1	0	0	0
Achromobacter	2	2	0	3
Alcaligenes	0	0	0	1
Bordetella	0	0	0	1
Oxalobacter	1	0	0	0
Herbaspirillum	0	0	1	0
Comamonas	1	2	1	4
Leptothrix	10	7	8	8
Thiobacillus	1	0	0	0
Methylophilus	118	88	130	114
Vitreoscilla	24	17	18	26
Simonsiella	11	2	12	18
Neisseria	0	0	0	3
Eikenella	0	0	0	1
Aquaspirillum	2	1	2	2
Chromobacterium	0	0	2	0
Zoogloea	1	0	0	1
Gallionella	8	9	7	12
Myxococcus	58	49	49	56
Stigmatella	53	27	25	40
Cystobacter	49	26	41	35
Melittangium	48	25	31	30
Archangium	40	20	23	28
Chondromyces	22	14	25	19
Polyangium	30	17	13	30
Nannocystis	35	14	16	31
Pelobacter	113	97	134	106
Desulfomicrobium	2	0	0	0
Desulfobulbus	1	0	0	0
Bdellovibrio	0	0	1	0
Helicobacter	2	0	1	4
Thiovulum	0	1	0	0
Campylobacter	3	1	0	2
Staphylococcus	0	1	0	0
Bacillus_1386	0	0	1	0
Planococcus_1372	0	0	1	0
Listeria	1	0	0	0
Gemella	0	0	1	0
Peptostreptococcus	0	0	0	1
Pectinatus	2	0	0	0
Selenomonas	0	0	0	1
Thermus	1	1	0	0
Fusobacterium	0	0	0	2
Leptospirillum	3	1	3	7
Nitrospira_1234	1	1	0	1
Chlamydia	0	1	0	0
Dictyoglomus	173	123	159	127
Flavobacterium	1	1	0	3
Saprospira	1	0	0	0
Bacteroides	1	1	0	0
Porphyromonas	1	0	0	0
Prevotella	1	0	0	0
Flectobacillus	5	4	1	6
Runella	8	4	5	9
Spirosoma	10	8	3	9
Cytophaga	0	1	0	1
Microscilla	0	0	1	0
Pelodictyon	0	1	0	0
Hydrogenobacter	1	0	0	0
Heliothrix	1	0	0	0
Herpetosiphon	34	16	15	21
Thermomicrobium	0	1	1	0
Arthrobacter	0	0	1	0
Dermatophilus	0	0	0	1
Clavibacter	0	0	0	1
Rhodococcus	0	1	0	0
Micromonospora	0	0	0	1
Saccharomonospora	0	1	0	0
Streptoalloteichus	0	1	0	0
Kibdelosporangium	1	0	0	0
Streptosporangium	1	0	0	0
Microbispora	1	0	0	0
Nocardiopsis	1	0	0	0
Geodermatophilus	0	0	1	0
Gemmata	11	7	8	16
Planctomyces	10	5	5	5
Pirellula	10	5	4	7
Isosphaera	2	3	1	13
Spirochaeta	7	2	1	8
Treponema	4	0	0	6
Borrelia	4	3	3	2
Brevinema	1	0	0	0
Leptospira	1	1	1	6
Asteroleplasma	0	0	0	1
Thermoproteus	1	0	0	0
Staphylothermus	0	0	0	1
Methanopyrus	1	0	0	0
Methanomicrobium	0	0	1	0
Methanosaeta	1	0	0	0
Platymonas	0	0	0	1
Batophora	0	0	1	0
Acetabularia	0	1	0	0
Mnium	0	0	1	0
Cabomba	1	1	0	0
Pistia	0	1	0	0
Ensete	0	1	0	0
Bambusa	0	0	0	1
Elmera	0	0	0	1
Dubautia	0	0	0	1
Hyoscyamus	0	0	0	1
Antirrhinum	0	0	0	1
Byblis_3769	1	0	0	0
Manihot	0	1	0	0
Ecballium	1	0	0	0
Cytisus	0	0	1	0
Phaseolus	1	0	0	0
Brassica	0	0	0	1
Abutilon	0	0	0	1
Fuchsia	1	0	0	0
Podocarpus	0	0	1	0
Callitris	0	0	1	0
Thujopsis	1	0	0	0
Pseudotsuga	0	0	0	1
Osmunda	0	1	0	0
Scytalidium	0	1	0	0
Epichloe	0	0	0	1
Fusarium	1	0	0	0
Exidia	0	0	1	0
Arthromyces	1	0	0	0
Melanotaenium	1	0	0	0
Polyorchis	0	0	1	0
Leukartiara	1	0	0	0
Taenia	0	0	0	1
Tachypleus	0	0	0	1
Agelenopsis	0	0	0	1
Phoneutria	0	1	0	0
Palinurus	0	1	0	0
Gecarcinus	0	0	1	0
Campoletis	0	1	0	0
Xylocopa_7476	0	0	1	0
Enchytraeus	0	0	1	0
Cryptochiton	1	0	0	0
Parechinus	0	1	0	0
Hucho	0	0	0	1
Eumegistus	1	0	0	0
Gadus	0	0	0	1
Discoglossus	0	0	1	0
Dromaius	0	1	0	0
Rhea	0	0	0	1
Circaetus	1	0	0	0
Carpodacus	0	0	1	0
Mellivora	0	0	0	1
Symbiodinium	1	0	0	0
Ochromonas	0	0	0	1
Deltapapillomavirus_1	1	0	0	0
Pseudomonas_phage_phi6	0	0	0	1
Hepatitis_delta_virus	0	0	1	0
Sweet_potato_mild_speckling_virus	0	0	0	1
Ryegrass_mosaic_virus	0	0	0	1
Tomato_black_ring_virus	0	1	0	0
Transposon_Tn2501	0	0	0	1
Transposon_Tn2680	0	1	0	0
Insertion_sequence_IS2	1	0	0	0
Plasmid_ColA-CA31	0	0	0	1
Plasmid_ColE1	0	0	0	1
Plasmid_ColE8	0	0	0	1
Plasmid_ColV3-K30	0	0	1	0
Plasmid_NR79	0	0	0	1
Plasmid_R1033	1	0	0	0
Plasmid_R144	0	1	0	0
Plasmid_R1767	0	0	1	0
Plasmid_R387	0	0	1	0
Plasmid_R67	1	0	0	0
Plasmid_RSF1010	0	0	1	0
Plasmid_pAC27	0	1	0	0
Plasmid_pCU1	1	0	0	0
Plasmid_pFA3	0	0	0	1
Plasmid_pJHC-MW1	1	0	0	0
Plasmid_pKM101	0	0	0	1
Plasmid_pRA1	1	0	0	0
Plasmid_pSAM2	1	0	0	0
Plasmid_pTiB6S3	1	0	0	0
Plasmid_pTiS4	0	0	1	1
Plasmid_pVI150	0	1	0	0
Anabaena_variabilis	0	0	1	0
Anabaena_oscillarioides	1	0	0	0
Nostoc_sp._PCC_7119	0	0	0	1
Nostoc_commune	0	1	0	0
Nostoc_sp.	0	2	0	0
Scytonema_sp.	0	0	1	0
Tolypothrix_sp._PCC_7601	0	0	1	0
Chlorogloeopsis_fritschii	1	0	0	0
Fischerella_sp.	0	1	0	0
Prochloron_sp.	0	0	0	1
Prochlorothrix_hollandica	1	0	0	0
Microcystis_sp._'BC_84/1'	1	0	0	0
Phormidium_sp.	0	0	0	1
Trichodesmium_erythraeum	1	0	0	0
Trichodesmium_thiebautii	0	0	0	1
oscillatoriacean_cyanobacterium	0	0	1	0
Francisella_tularensis	1	1	0	3
Thiomicrospira_thyasirae	1	0	0	0
Thiomicrospira_pelophila	0	0	1	1
Thiothrix_nivea	0	0	0	1
Thiothrix_sp.	0	0	0	1
Acinetobacter_sp.	0	0	0	2
Acinetobacter_baumannii	1	1	0	0
Moraxella_bovis	0	0	0	1
Moraxella_nonliquefaciens	1	0	1	0
Moraxella_sp.	1	0	1	4
Psychrobacter_immobilis	0	0	0	1
[Flavobacterium]_lutescens	0	0	0	1
Pseudomonas_aeruginosa	1	1	0	2
Pseudomonas_mendocina	2	1	0	0
Pseudomonas_oleovorans	1	3	1	1
Pseudomonas_fragi	0	1	1	1
Pseudomonas_fluorescens	0	1	1	0
Pseudomonas_putida	1	1	0	1
Pseudomonas_stutzeri	1	0	0	1
Pseudomonas_syringae	0	1	1	3
Azotobacter_chroococcum	1	0	2	0
Azotobacter_vinelandii	2	0	1	0
Citrobacter_koseri	0	1	0	0
Enterobacter_aerogenes	0	1	1	2
Erwinia_amylovora	0	1	1	1
Escherichia_coli	1	0	0	0
Escherichia_fergusonii	0	0	0	1
Escherichia_hermannii	0	1	0	0
Klebsiella_oxytoca	0	0	0	1
Klebsiella_pneumoniae	0	1	1	1
Klebsiella_sp.	1	0	0	0
Kluyvera_cryocrescens	1	0	0	1
Proteus_mirabilis	1	0	0	0
Proteus_vulgaris	1	1	1	0
Providencia_rettgeri	0	1	0	0
Salmonella_sp.	0	0	0	1
Serratia_liquefaciens	0	0	1	1
Serratia_marcescens	1	1	0	0
Serratia_sp._E-15	1	0	0	1
Serratia_odorifera	1	0	0	1
Shigella_boydii	0	0	1	0
Shigella_sonnei	0	1	0	0
Yersinia_enterocolitica	1	0	0	1
Yersinia_intermedia	0	0	0	1
Yersinia_pestis	0	1	0	1
Yersinia_pseudotuberculosis	0	1	1	0
Edwardsiella_tarda	0	0	1	0
Arsenophonus_nasoniae	0	2	0	0
Plesiomonas_shigelloides	1	0	0	0
Buchnera_aphidicola	173	209	209	179
Pantoea_agglomerans	0	1	0	0
Pectobacterium_carotovorum	0	0	1	0
Raoultella_planticola	0	0	1	0
Raoultella_terrigena	0	1	0	0
Shimwellia_blattae	1	0	1	1
Bathymodiolus_thermophilus_thioautotrophic_gill_symbiont	1	0	0	1
Legionella_pneumophila	2	0	0	1
Legionella_hackeliae	0	1	0	1
Legionella_spiritensis	3	0	0	1
Legionella_feeleii	1	1	0	0
Legionella_israelensis	0	1	0	2
Legionella_jamestowniensis	0	0	0	1
Legionella_jordanis	0	1	0	2
Legionella_rubrilucens	0	0	0	1
Legionella_sp.	0	0	0	1
Legionella_steigerwaltii	1	0	0	1
Candidatus_Legionella_jeonii	0	1	0	0
Fluoribacter_dumoffii	0	1	0	1
Tatlockia_micdadei	0	0	0	2
Coxiella_burnetii	0	0	0	1
Nitrosococcus_oceani	0	0	0	1
Allochromatium_vinosum	0	0	0	1
Marichromatium_gracile	0	0	1	0
Ectothiorhodospira_shaposhnikovii	0	0	1	0
Arhodomonas_aquaeolei	0	1	0	0
Halothiobacillus_hydrothermalis	0	0	1	0
Lysobacter_enzymogenes	23	11	6	20
Xanthomonas_campestris	0	0	1	1
Xanthomonas_translucens	1	0	1	1
Xanthomonas_oryzae	4	1	0	2
Xanthomonas_citri	1	0	0	2
Methylococcus_capsulatus	3	1	0	1
Methylomonas_sp.	0	0	1	1
Methylomonas_methanica	0	0	2	0
Methylomonas_rubra	0	0	0	1
Methylobacter_luteus	1	0	0	3
Methylobacter_capsulatus	2	0	0	1
Halomonas_halmophila	4	2	0	3
Oceanospirillum_linum	0	0	0	1
Alteromonas_sp.	0	1	3	5
Pseudoalteromonas_carrageenovora	2	1	1	1
Pseudoalteromonas_haloplanktis	1	1	0	4
Pseudoalteromonas_atlantica	0	1	0	1
Shewanella_colwelliana	90	78	81	83
Shewanella_putrefaciens	99	73	83	82
Shewanella_hanedai	85	57	66	71
Vibrio_cholerae	1	0	0	0
Vibrio_proteolyticus	1	1	0	0
Vibrio_vulnificus	1	0	0	0
Vibrio_cincinnatiensis	0	1	0	0
Vibrio_sp.	1	0	0	0
Vibrio_sp._0407CSC74	0	0	0	1
Vibrio_alginolyticus	1	0	0	0
Vibrio_harveyi	0	0	1	1
Vibrio_parahaemolyticus	1	0	1	0
Vibrio_campbellii	1	0	0	0
Vibrio_natriegens	0	0	1	1
Melanocetus_johnsoni_symbiont	1	0	0	1
Grimontia_hollisae	1	0	2	1
Aliivibrio_fischeri	0	0	0	1
Aliivibrio_logei	0	0	1	1
Ruminobacter_amylophilus	0	0	1	0
Aeromonas_hydrophila	0	2	1	0
Aeromonas_salmonicida	0	0	0	1
Aeromonas_sobria	0	1	0	0
Aeromonas_eucrenophila	0	2	0	0
Aeromonas_jandaei	1	0	0	0
Actinobacillus_pleuropneumoniae	1	0	0	0
Actinobacillus_suis	0	0	1	0
Actinobacillus_capsulatus	0	0	0	2
Actinobacillus_hominis	1	0	0	1
Actinobacillus_lignieresii	0	0	0	1
Haemophilus_haemolyticus	1	0	0	0
Haemophilus_influenzae	0	0	0	1
Haemophilus_parainfluenzae	0	1	1	0
Haemophilus_haemoglobinophilus	1	0	0	0
Haemophilus_parahaemolyticus	0	0	0	2
Pasteurella_multocida	1	0	0	0
Pasteurella_langaaensis	1	0	0	0
Pasteurella_stomatis	1	0	0	0
Gallibacterium_anatis	1	0	0	1
Avibacterium_paragallinarum	0	0	1	0
Avibacterium_gallinarum	1	0	0	0
Aggregatibacter_actinomycetemcomitans	0	0	1	0
Aggregatibacter_aphrophilus	0	0	0	1
[Pasteurella]_aerogenes	0	1	1	0
Acidithiobacillus_ferrooxidans	0	0	0	1
Acidithiobacillus_thiooxidans	0	0	1	0
Bartonella_quintana	0	0	0	1
Methylocystis_parvus	4	4	1	8
Methylosinus_trichosporium	0	0	0	1
Methylosinus_sporium	0	0	2	0
Bradyrhizobium_japonicum	0	0	2	4
Bradyrhizobium_sp.	0	0	0	2
Bradyrhizobium_sp._ANU_289	1	0	1	0
Bradyrhizobium_sp._RP501	0	1	0	1
Nitrobacter_winogradskyi	0	1	0	0
Rhodopseudomonas_sp.	0	0	0	1
Pseudomonas_carboxydohydrogena	0	2	0	0
Hyphomicrobium_sp.	10	9	7	12
Hyphomicrobium_vulgare	12	8	7	24
Hyphomicrobium_methylovorum	12	6	5	15
Rhodomicrobium_vannielii	0	0	0	1
Agrobacterium_sp.	1	1	0	0
Agrobacterium_vitis	1	0	1	1
Agrobacterium_tumefaciens	1	1	1	0
Rhizobium_leguminosarum	0	1	0	0
Rhizobium_sp._MPIK3030	0	0	0	2
Rhizobium_phaseoli	2	0	2	2
Rhizobium_tropici	1	1	1	1
Rhizobium_sp._IRc78	0	0	0	1
Neorhizobium_galegae	0	2	1	3
Sinorhizobium_meliloti	1	0	1	0
Sinorhizobium_fredii	3	0	0	0
Brucella_abortus	2	1	0	3
Brucella_ovis	0	1	2	1
Ochrobactrum_anthropi	0	1	1	0
Methylobacterium_sp.	0	0	0	1
Methylobacterium_organophilum	1	1	0	0
Methylobacterium_specialis	0	0	1	0
Methylobacterium_extorquens	1	1	0	0
Azorhizobium_caulinodans	191	259	292	199
Ancylobacter_aquaticus	9	7	1	14
Xanthobacter_viscosus	4	7	0	14
Xanthobacter_autotrophicus	0	2	0	2
Xanthobacter_flavus	2	0	1	2
Starkeya_novella	0	0	0	1
Rickettsia_rickettsii	0	0	1	0
Rickettsia_prowazekii	1	0	0	0
Orientia_tsutsugamushi	0	0	1	1
Anaplasma_centrale	0	0	0	1
Anaplasma_platys	0	1	1	0
Anaplasma_phagocytophilum	1	0	0	0
Ehrlichia_ewingii	1	0	0	0
Wolbachia_sp.	0	0	1	0
Neorickettsia_sennetsu	0	0	0	2
uncultured_alpha_proteobacterium_GT17-2	0	1	0	0
Tuberoidobacter_mutans	1	6	1	6
Vibrio_cyclosites	0	1	0	1
magnetite-containing_magnetic_coccus	1	0	0	0
Stella_humosa	6	4	6	13
Acetobacter_pasteurianus	0	0	1	1
Acetobacter_aceti	2	0	1	1
Gluconobacter_oxydans	0	0	1	1
Acidiphilium_cryptum	0	1	1	0
Acidiphilium_sp.	1	0	0	0
Rhodopila_globiformis	0	0	1	0
Acidomonas_methanolica	0	0	1	0
Gluconacetobacter_polyoxogenes	0	0	0	1
Komagataeibacter_hansenii	1	0	0	2
Azospirillum_brasilense	2	0	2	5
Azospirillum_lipoferum	1	0	3	4
Magnetospirillum_magnetotacticum	4	1	1	3
Rhodovibrio_salinarum	1	0	0	0
Novispirillum_itersonii	0	1	2	1
Pararhodospirillum_photometricum	0	1	0	0
Paracoccus_denitrificans	0	0	0	1
Paracoccus_sp.	0	0	0	2
Hyphomonas_jannaschiana	14	4	10	17
Hyphomonas_sp.	11	13	6	10
Zymomonas_mobilis	2	1	2	0
Erythrobacter_sp.	0	2	0	0
Erythrobacter_longus	0	1	0	0
Phenylobacterium_immobile	99	84	93	89
Caulobacter_sp.	11	11	14	17
Brevundimonas_diminuta	2	0	0	1
Brevundimonas_vesicularis	0	0	1	0
Spirillum_volutans	1	0	0	0
Achromobacter_cycloclastes	3	0	1	2
Achromobacter_lyticus	2	2	2	4
Alcaligenes_faecalis	0	0	0	1
Alcaligenes_sp.	0	0	0	1
Alcaligenes_hydrogenophilus	0	1	0	0
Bordetella_parapertussis	1	0	0	0
Bordetella_avium	0	1	0	0
Oxalobacter_formigenes	0	1	0	0
Comamonas_testosteroni	1	0	2	1
Variovorax_paradoxus	0	1	0	0
Pelomonas_saccharophila	0	1	0	1
Burkholderia_glumae	1	0	0	0
Burkholderia_cepacia	4	0	0	1
Ralstonia_solanacearum	0	1	0	1
Ralstonia_pickettii	0	0	0	2
Leptothrix_discophora	9	7	10	13
Hydrogenophilus_thermoluteolus	0	2	0	1
Methylophilus_methylotrophus	139	105	103	114
Methylobacillus_flagellatus	0	0	1	2
Methylobacillus_glycogenes	1	1	0	0
Methylomonas_methylovora	0	1	0	0
Vitreoscilla_sp.	29	15	8	28
Vitreoscilla_stercoraria	27	14	10	25
Vitreoscilla_beggiatoides	21	9	14	25
Vitreoscilla_filiformis	16	12	10	23
Simonsiella_muelleri	15	10	10	20
Neisseria_cinerea	0	1	1	1
Neisseria_flavescens	0	0	1	1
Neisseria_gonorrhoeae	0	1	0	0
Neisseria_lactamica	0	2	0	0
Neisseria_meningitidis	0	0	0	1
Neisseria_polysaccharea	1	0	0	0
Neisseria_animalis	0	0	1	0
Neisseria_canis	0	0	0	1
Neisseria_elongata	1	0	2	0
Kingella_kingae	1	1	0	0
Aquaspirillum_serpens	1	1	0	3
Chromobacterium_violaceum	0	0	0	1
Iodobacter_fluviatilis	0	1	0	0
Zoogloea_ramigera	1	1	1	0
Gallionella_ferruginea	8	6	5	10
Pseudomonas_sp.	1	0	1	1
Pseudomonas_sp._KKS102	2	1	5	1
Pseudomonas_sp._PG2982	0	0	0	1
Pseudomonas_sp._SE83	1	1	1	0
Pseudomonas_sp._KWI-56	0	0	1	0
Pseudomonas_sp._RS-16	0	2	0	0
Pseudomonas_sp._ATCC29598	3	1	0	1
Pseudomonas_sp._NK87	3	0	0	3
Pseudomonas_sp._ATCC19151	2	0	1	1
Myxococcus_fulvus	71	51	46	48
Myxococcus_xanthus	51	53	34	43
Corallococcus_macrosporus	53	31	36	31
Stigmatella_aurantiaca	46	28	27	41
Angiococcus_disciformis	60	33	36	41
Cystobacter_fuscus	40	31	35	34
Melittangium_lichenicola	39	31	20	37
Archangium_gephyra	40	27	27	24
Chondromyces_apiculatus	23	11	16	31
Chondromyces_crocatus	30	19	23	24
Polyangium_sp.	23	18	9	30
Sorangium_cellulosum	22	13	24	19
Nannocystis_exedens	22	16	21	32
Desulfuromonas_acetoxidans	0	1	0	0
Pelobacter_carbinolicus	119	94	111	85
Desulfovibrio_africanus	0	0	1	0
Desulfovibrio_desulfuricans	0	1	1	0
Desulfovibrio_salexigens	0	0	1	0
Desulfovibrio_longus	1	0	1	0
Desulfovibrio_piger	0	1	0	0
Desulfobulbus_propionicus	0	1	0	0
Bdellovibrio_bacteriovorus	0	0	1	0
Bacteriovorax_stolpii	0	0	1	0
Helicobacter_pylori	3	2	1	2
Helicobacter_sp._CLO-3	2	1	2	2
Helicobacter_acinonychis	4	2	1	3
Helicobacter_cinaedi	0	3	1	2
Helicobacter_felis	2	0	1	3
Helicobacter_fennelliae	3	2	0	1
Helicobacter_muridarum	1	1	2	3
Helicobacter_mustelae	1	2	0	5
Helicobacter_sp.	2	1	1	1
Wolinella_succinogenes	0	0	0	2
Campylobacter_coli	0	3	1	0
Campylobacter_fetus	1	2	1	3
Campylobacter_jejuni	2	2	3	4
Campylobacter_hyointestinalis	3	2	1	3
Campylobacter_concisus	2	2	2	2
Campylobacter_curvus	2	1	1	1
Campylobacter_lari	2	0	2	2
Campylobacter_mucosalis	4	0	2	0
Campylobacter_rectus	2	2	0	1
Campylobacter_showae	2	0	1	3
Campylobacter_sp.	2	0	2	2
Campylobacter_sputorum	6	0	2	3
Campylobacter_jejuni-like_bacterium	3	1	2	1
Campylobacter_gracilis	0	1	0	0
Staphylococcus_aureus	0	1	0	0
Staphylococcus_carnosus	0	1	0	0
Staphylococcus_haemolyticus	0	1	0	0
Staphylococcus_intermedius	0	1	0	0
Staphylococcus_simulans	0	0	2	0
Staphylococcus_gallinarum	1	1	0	0
Staphylococcus_muscae	0	1	0	0
